,x,y,feature_name
0,22191.130514705885,21586.48667279412,MPO
1,22204.528952205885,21601.36948529412,MPO
2,22224.503676470587,21656.69806985294,SOX2
3,22226.185661764706,21831.07306985294,NCAM1
4,22231.755514705885,21846.42463235294,NCAM1
5,22233.589154411766,21831.452205882353,NCAM1
6,22234.809283088234,21835.82261029412,PDGFRB
7,22239.602481617647,21832.665441176472,PDGFRB
8,22239.616268382353,21657.065716911766,CD82
9,22242.497702205885,21841.204044117647,NCAM1
10,22251.647518382353,21826.050091911766,CSPG4
11,22285.730698529413,21657.75735294118,MPO
12,22288.41681985294,21656.121323529413,MPO
13,22293.69255514706,21653.508731617647,MPO
14,22310.016084558825,21655.52619485294,MPO
15,22319.738051470587,21644.439338235294,MPO
16,22325.043658088234,21651.29136029412,MPO
17,22329.296875,21636.040900735294,MPO
18,22331.431525735294,21742.771139705885,MPO
19,22331.615349264706,21642.371323529413,MPO
20,22335.951286764706,21674.926470588234,MPO
21,22343.828125,21672.865349264706,MPO
22,22345.985753676472,21657.807904411766,MPO
23,22346.284466911766,21653.35018382353,MPO
24,22142.065716911766,21548.704044117647,LYZ
25,22157.086397058825,21610.21599264706,FGL2
26,22167.621783088234,21634.267003676472,ENG
27,22174.368106617647,21552.21737132353,LYZ
28,22177.863051470587,21540.438878676472,LYZ
29,22180.57674632353,21644.16130514706,CSF2RA
30,22183.83042279412,21655.776654411766,ENG
31,22205.78354779412,21572.95266544118,LYZ
32,22212.9296875,21569.41636029412,LYZ
33,22224.01424632353,21801.67049632353,TNC
34,22225.33318014706,21842.05422794118,TNC
35,22228.34329044118,21825.631893382353,TNC
36,22230.344669117647,21809.878216911766,TNC
37,22230.204503676472,21666.727941176472,TNC
38,22233.51792279412,21601.488970588234,LYZ
39,22234.800091911766,21834.917279411766,ENG
40,22235.99494485294,21809.037224264706,TNC
41,22238.474264705885,21620.99494485294,LYZ
42,22240.475643382353,21822.9296875,TNC
43,22249.604779411766,21614.4140625,LYZ
44,22256.677389705885,21757.265625,LYZ
45,22258.793658088234,21601.217830882353,LYZ
46,22264.057904411766,21880.992647058825,DKK1
47,22265.983455882353,21797.564338235294,LYZ
48,22268.53860294118,21871.208639705885,DKK1
49,22270.376838235294,21629.634650735294,MS4A1
50,22274.47150735294,21634.096966911766,JAK2_p.V617F_WT
51,22275.514705882353,21881.888786764706,VCAN
52,22275.126378676472,21624.694393382353,LYZ
53,22277.86994485294,21820.087316176472,TNC
54,22293.531709558825,21785.087316176472,LYZ
55,22301.325827205885,21677.040441176472,ENG
56,22316.399356617647,21665.25275735294,LYZ
57,22323.453584558825,21756.125919117647,ATM
58,22324.540441176472,21806.808363970587,LYZ
59,22324.731158088234,21633.70174632353,LYZ
60,22330.767463235294,21902.60799632353,LYZ
61,22342.8515625,21791.72104779412,LYZ
62,22348.442095588234,21791.711856617647,LYZ
63,22158.658088235294,21632.157628676472,MS4A6A
64,22163.35018382353,21630.523897058825,MS4A6A
65,22166.68198529412,21533.414522058825,ELANE
66,22169.057904411766,21720.457261029413,CTSK
67,22183.80744485294,21561.48667279412,ELANE
68,22191.050091911766,21583.720128676472,ELANE
69,22208.77297794118,21585.298713235294,ELANE
70,22209.643841911766,21829.896599264706,SPP1
71,22211.277573529413,21762.348345588234,ELANE
72,22225.92141544118,21667.104779411766,SOX18
73,22242.87224264706,21593.984375,KLRB1
74,22248.724724264706,21817.651654411766,SPP1
75,22251.551011029413,21822.153033088234,SPP1
76,22255.40900735294,21836.472886029413,SPP1
77,22279.361213235294,21892.449448529413,CTSK
78,22286.022518382353,21659.698988970587,ELANE
79,22323.01011029412,21636.27297794118,ELANE
80,22323.35018382353,21660.165441176472,ELANE
81,22327.458639705885,21640.84329044118,ELANE
82,22332.417279411766,21645.160845588234,ELANE
83,22334.140625,21637.927389705885,ELANE
84,22336.119025735294,21639.52205882353,ELANE
85,22336.530330882353,21646.93474264706,ELANE
86,22339.312959558825,21666.509650735294,ELANE
87,22342.87454044118,21784.41636029412,ALDH1A3
88,22348.295036764706,21647.849264705885,ELANE
89,22117.040441176472,21647.81479779412,PARP1
90,22161.996783088234,21630.542279411766,CD14
91,22164.12454044118,21628.658088235294,BST2
92,22174.896599264706,21644.271599264706,CD14
93,22177.107077205885,21653.157169117647,BST2
94,22189.149816176472,21558.017003676472,BAP1
95,22215.436580882353,21597.591911764706,PCNA
96,22216.431525735294,21743.920036764706,CXCL12
97,22219.253216911766,21812.88143382353,LTBP2
98,22219.19806985294,21835.06893382353,PDGFRA
99,22225.49172794118,21838.952205882353,PCNA
100,22238.469669117647,21657.125459558825,EGFL7
101,22241.217830882353,21660.37454044118,FABP4
102,22257.801011029413,21635.611213235294,PCNA
103,22279.140625,21686.181066176472,KDR
104,22286.171875,21872.063419117647,LGALS1
105,22286.74172794118,21678.2421875,FABP4
106,22300.716911764706,21610.06893382353,LTBP2
107,22324.558823529413,21603.198529411766,CXCL12
108,22338.745404411766,21781.011029411766,PCNA
109,22350.278033088234,21584.887408088234,FABP4
110,22168.22610294118,21579.33823529412,MRC1
111,22170.10110294118,21649.832261029413,LYVE1
112,22174.848345588234,21697.918198529413,LYVE1
113,22180.298713235294,21652.587316176472,MRC1
114,22192.141544117647,21543.687959558825,CDK1
115,22236.30744485294,21658.644301470587,RAPGEF3
116,22280.3515625,21884.19806985294,CLIC6
117,22117.350643382353,21644.27619485294,LGI4
118,22149.82766544118,21633.357077205885,BST2
119,22168.92693014706,21656.335018382353,BST2
120,22188.589154411766,21539.060202205885,MS4A3
121,22213.678768382353,21712.472426470587,S100A12
122,22231.4453125,21727.954963235294,CD69
123,22263.06525735294,21664.051011029413,VWF
124,22271.243106617647,21650.590533088234,MS4A3
125,22274.574908088234,21664.99080882353,MS4A3
126,22275.60431985294,21669.057904411766,MS4A3
127,22282.40349264706,21888.76838235294,MEF2C
128,22296.744025735294,21680.25275735294,VWF
129,22297.644761029413,21684.933363970587,VWF
130,22297.973345588234,21624.021139705885,SF1
131,22324.917279411766,21750.88005514706,MS4A3
132,22332.196691176472,21971.130514705885,MEF2C
133,22332.038143382353,21685.238970588234,VWF
134,22338.20542279412,21951.383272058825,ANGPT1
135,22338.793658088234,21685.981158088234,CA4
136,22351.891084558825,21746.300551470587,SF1
137,22167.902113970587,21635.02068014706,CD163
138,22179.754136029413,21544.16360294118,ANPEP
139,22183.717830882353,21559.67141544118,CD82
140,22208.864889705885,21640.091911764706,CD34
141,22278.327205882353,21698.423713235294,CD34
142,22281.27987132353,21641.863511029413,CD82
143,22313.74080882353,21612.94806985294,KLRD1
144,22122.421875,21620.829503676472,PTGDS
145,22163.598345588234,21624.67830882353,PTPRC
146,22176.236213235294,21552.45174632353,CD164
147,22185.45036764706,21551.615349264706,CBL
148,22191.750919117647,21655.438878676472,CBL
149,22225.475643382353,21587.20818014706,PTGDS
150,22241.176470588234,21631.01792279412,CA4
151,22248.409926470587,21842.297794117647,SPP1
152,22271.81985294118,21644.655330882353,PTPRC
153,22276.484375,21645.778952205885,CA4
154,22302.585018382353,21661.93244485294,NegControlCodeword_0514
155,22341.217830882353,21592.605698529413,LEPR
156,22342.630974264706,21917.789522058825,SPP1
157,22350.66636029412,21926.410845588234,SPP1
158,22102.59650735294,21678.570772058825,FTH1
159,22156.948529411766,21619.457720588234,LY86
160,22179.400275735294,21547.807904411766,CTSG
161,22182.081801470587,21643.24448529412,MPEG1
162,22187.665441176472,21732.05422794118,FTH1
163,22190.870863970587,21572.219669117647,PLEK
164,22195.17463235294,21561.537224264706,CTSG
165,22208.607536764706,21664.993106617647,FTH1
166,22216.964613970587,21655.298713235294,TCIM
167,22233.203125,21636.266084558825,TCIM
168,22235.51011029412,21772.71599264706,FTH1
169,22237.532169117647,21692.194393382353,FTH1
170,22243.035386029413,21830.719209558825,TET2
171,22244.294577205885,21834.51056985294,TET2
172,22247.899816176472,21777.821691176472,FTH1
173,22258.832720588234,21628.625919117647,INHBA
174,22266.518841911766,21642.28400735294,MNDA
175,22268.782169117647,21710.441176470587,CXCL9
176,22276.371783088234,21668.481158088234,FTH1
177,22284.35661764706,21658.49724264706,FTH1
178,22297.702205882353,21662.2265625,NKG7
179,22303.003216911766,21609.653033088234,PTGDS
180,22317.936580882353,21809.23943014706,FTH1
181,22325.542279411766,21648.61213235294,IL2RA
182,22327.996323529413,21680.83869485294,PLD4
183,22330.21599264706,21971.047794117647,FTH1
184,22338.177849264706,21695.66636029412,IGFBP4
185,22343.910845588234,21918.984375,FTH1
186,22349.908088235294,21764.15900735294,FTH1
187,22352.513786764706,21635.519301470587,CREBBP
188,22136.68198529412,21657.05193014706,BGLAP
189,22222.176011029413,21830.496323529413,BGLAP
190,22234.781709558825,21853.451286764706,BGLAP
191,22247.470128676472,21817.536764705885,BGLAP
192,22335.33547794118,21669.947150735294,MKI67
193,22335.445772058825,21893.173253676472,BGLAP
194,22343.074448529413,21907.624080882353,BGLAP
195,22121.027113970587,21635.907628676472,FTH1
196,22126.46829044118,21541.73943014706,FTH1
197,22138.92693014706,21632.7734375,FTH1
198,22151.691176470587,21661.25,FTH1
199,22151.978400735294,21646.551011029413,FTH1
200,22165.376838235294,21592.867647058825,FTH1
201,22178.89016544118,21646.68198529412,C1orf162
202,22183.582261029413,21684.875919117647,FTH1
