,x,y,feature_name
0,22874.818474264706,15862.271369485296,FOS
1,23130.15625,15846.6015625,NCAM1
2,22732.357536764706,15892.146139705883,FOXI1
3,22846.355698529413,16089.279641544119,LYZ
4,23137.495404411766,15904.342830882353,LYZ
5,22724.296875,15775.159696691177,CAMP
6,22881.769301470587,15797.748161764706,ECSCR
7,22897.984834558825,15865.729549632353,PARP1
8,22892.417279411766,15872.254136029413,DST
9,22890.112591911766,15871.849724264706,CD164
10,22934.857536764706,16048.260569852942,SLC22A8
11,23147.75505514706,15824.417509191177,ALAS2
12,22806.36948529412,15936.676240808823,NegControlCodeword_0515
13,22887.056525735294,15869.723115808823,LY86
14,23101.83823529412,16121.29825367647,TENT5C
15,22880.317095588238,15870.647977941177,JUN
16,22894.931066176472,15873.862591911766,JUN
17,22883.89705882353,15848.754595588236,FTH1
18,23083.529411764706,16132.300091911766,FBN1
19,22887.566636029413,15850.389476102942,BAMBI
20,23081.4453125,16154.898897058823,BAMBI
21,23138.30193014706,15801.869255514706,NegControlCodeword_0526
22,22896.254595588238,15878.590303308823,MEF2C
23,22996.07766544118,16049.851792279413,SOX17
24,22879.54963235294,15864.914981617647,TGFB1
25,22895.085018382353,15855.266544117647,TGFB1
26,22875.953584558825,15863.44669117647,SLAMF1
27,23036.927849264706,16340.738740808823,SLC4A1
28,23085.703125,16145.834099264706,RUNX2
29,23092.136948529413,16266.742876838236,S100A12
30,22724.931066176472,16025.32284007353,SFRP4
31,22810.183823529413,16224.836856617647,APOA5
32,22875.06893382353,15858.95680147059,RUNX1
33,22952.419577205885,15900.542279411766,CAVIN2
34,23081.530330882353,16124.172794117647,PMP22
35,23082.7734375,16153.991268382353,SERPINE1
36,23084.74724264706,16163.470818014706,SERPINE1
37,22885.691636029413,15861.875,AR
38,23131.85431985294,15824.448529411766,NegControlCodeword_0501
39,22868.93612132353,15862.798713235296,FTH1
40,22870.011488970587,15853.982077205883,FTH1
41,22871.25,15869.38534007353,SF1
42,22874.586397058825,15860.71461397059,TNC
43,22913.15487132353,16221.84512867647,STEAP4
44,23080.05974264706,16144.215303308823,JUN
45,23086.978400735294,16156.497012867647,JUN
46,22897.474724264706,15862.10133272059,PDPN
47,22877.628676470587,15840.77205882353,TGFB1
48,22886.33042279412,15845.549172794119,AXL
49,22894.802389705885,15849.264705882353,TGFB1
50,23036.557904411766,15978.669577205883,MMP9
51,23086.46599264706,16155.659466911766,SF1
52,22933.092830882353,15832.768841911766,CREBBP
53,23129.347426470587,15845.288373161766,DST
54,22951.684283088238,16101.595818014706,CXCL12
55,22891.286764705885,15861.82674632353,BAMBI
56,22877.238051470587,15866.402803308823,FOS
57,22898.488051470587,15874.968979779413,LGALS1
58,22914.986213235294,16002.463235294119,BMP4
59,23025.824908088238,16289.06364889706,FUT4
60,23085.845588235294,16132.651654411766,C1orf194
61,23159.057904411766,16039.81617647059,CAMP
62,22857.99172794118,16282.54825367647,AHSP
63,22876.353400735294,15857.707950367647,AHSP
64,23001.206341911766,16001.326976102942,FUT4
65,22877.05422794118,15864.98161764706,CAVIN1
66,22789.145220588238,15780.413602941177,ACTA2
67,23140.04136029412,16014.387637867647,OGN
68,22885.075827205885,15849.194623161766,SMYD2
69,22881.00643382353,15866.216681985296,FOS
70,22883.053768382353,15871.763556985296,FOS
71,22919.186580882353,15853.247931985296,VPREB1
72,22872.977941176472,15834.369255514706,TGFB1
73,22875.942095588238,15870.86856617647,CYP3A4
74,22881.953125,15869.114200367647,TGFB1
75,22885.35386029412,15877.212775735296,TGFB1
76,22886.769301470587,15866.277573529413,TGFB1
77,23086.236213235294,16155.65602022059,FLT3
78,22882.626378676472,15852.077205882353,FOS
79,22920.574448529413,15845.45036764706,CD5L
80,23087.040441176472,16159.329044117647,FOS
81,22732.48391544118,15845.708869485296,SF1
82,22880.202205882353,15862.025505514706,JUN
83,22897.162224264706,15881.244255514706,JUN
84,22871.980698529413,15869.213005514706,RGS16
85,22875.88924632353,15842.93887867647,MTRNR2L11
86,22878.3984375,15869.478400735296,CSPG4
87,22874.664522058825,15865.415900735296,MEF2C
88,22889.524356617647,15841.49356617647,MEF2C
89,22891.808363970587,15867.19669117647,BMP4
90,22893.313419117647,15862.319623161766,BMP4
91,23130.45266544118,15871.106387867647,CSF2RA
92,23130.946691176472,15826.56364889706,FGL2
93,23174.388786764706,15928.64315257353,MPL
94,22729.138327205885,15841.948529411766,SCGN
95,22964.12454044118,15818.434053308823,AXL
96,23083.853400735294,16077.318474264706,LYZ
97,22887.922794117647,15865.090762867647,BAMBI
98,22968.46047794118,15891.609604779413,FUT4
99,22604.391084558825,15841.032858455883,LTF
100,22629.581801470587,15842.19669117647,LTF
101,22635.815716911766,15848.783318014706,LTF
102,22642.433363970587,15844.001608455883,ADGRL4
103,22666.999080882353,15785.110294117647,LTF
104,22670.815716911766,15790.152803308823,LTF
105,22679.958639705885,15802.300091911766,LTF
106,22683.81893382353,15882.20818014706,NCAM1
107,22685.45955882353,15789.781709558823,LTF
108,22685.91911764706,15806.92325367647,LTF
109,22688.134191176472,15792.727481617647,LTF
110,22692.71599264706,15806.711856617647,CD48
111,22692.665441176472,15806.779641544119,LTF
112,22693.552389705885,15792.143841911766,LTF
113,22694.35661764706,15796.711856617647,LTF
114,22695.505514705885,15809.450827205883,LTF
115,22802.038143382353,16158.110064338236,MPO
116,22631.215533088238,15975.465303308823,LYZ
117,22637.474724264706,15920.760569852942,MZB1
118,22649.301470588238,15855.629595588236,MZB1
119,22655.457261029413,15864.46461397059,ATM
120,22668.504136029413,15878.316865808823,LYZ
121,22669.613970588238,15800.227481617647,LYZ
122,22675.903033088238,15817.44140625,LYZ
123,22676.146599264706,15797.300091911766,LYZ
124,22680.151654411766,15893.293887867647,VCAN
125,22685.078125,15785.142463235296,LYZ
126,22685.620404411766,15776.733685661766,LYZ
127,22688.274356617647,15786.400505514706,LYZ
128,22690.95588235294,15788.27205882353,LYZ
129,22694.386488970587,15891.394761029413,VCAN
130,22697.504595588238,15795.610064338236,LYZ
131,22698.370863970587,15790.832950367647,LYZ
132,22700.87775735294,15854.676011029413,TNC
133,22714.682904411766,15862.98023897059,DKK1
134,22739.39568014706,15850.355009191177,LYZ
135,22772.302389705885,15796.80836397059,TNC
136,22672.24954044118,15773.74080882353,CAMP
137,22673.490349264706,15791.228170955883,CAMP
138,22677.6953125,15905.457261029413,SPP1
139,22679.809283088238,15899.234834558823,SPP1
140,22682.729779411766,15894.771369485296,SPP1
141,22686.686580882353,15795.569852941177,CAMP
142,22692.918198529413,15790.466452205883,CAMP
143,22695.087316176472,15817.111672794119,SPP1
144,22701.001838235294,15868.667279411766,SPP1
145,22715.271139705885,15865.84903492647,SPP1
146,22807.16911764706,15756.61305147059,GKN2
147,22677.341452205885,15826.22242647059,SLC4A1
148,22682.08869485294,15903.257123161766,RGS16
149,22691.15579044118,15779.40372242647,CXCR4
150,22716.91636029412,15870.668658088236,SLC4A1
151,22757.65625,15791.443014705883,SLC4A1
152,22770.948988970587,15788.400735294119,PARP1
153,22679.349724264706,15819.07169117647,CDK1
154,22698.31112132353,15797.038143382353,ITGAM
155,22699.12224264706,15898.957950367647,BMP4
156,22721.459099264706,15804.85523897059,CEBPA
157,22640.009191176472,15865.172334558823,CYTIP
158,22648.871783088238,15834.62086397059,HEPACAM2
159,22666.74862132353,15789.800091911766,S100A12
160,22681.794577205885,15781.82559742647,SPI1
161,22692.513786764706,15884.997702205883,PGR
162,22694.462316176472,15786.76815257353,S100A12
163,22780.893841911766,15771.88419117647,NegControlProbe_00022
164,22645.08042279412,15859.323299632353,TCF4
165,22656.684283088238,15855.181525735296,DST
166,22614.664522058825,15769.479549632353,CAMP
167,22626.07306985294,15918.220358455883,SPP1
168,22636.537224264706,15862.35294117647,CD38
169,22639.673713235294,15855.336626838236,FGFBP1
170,22644.250919117647,15862.506893382353,CD38
171,22644.48299632353,15879.025735294119,SOX4
172,22650.475643382353,15837.514935661766,HEPACAM2
173,22652.194393382353,15850.705422794119,SOX4
174,22675.22518382353,15786.73943014706,CAMP
175,22678.18704044118,15893.880974264706,CD164
176,22691.3671875,15781.560202205883,CAMP
177,22789.13143382353,15778.698299632353,SPP1
178,22642.807904411766,15843.903952205883,CFHR3
179,22671.81985294118,15775.49977022059,FCN1
180,22674.7265625,15784.94140625,LILRB2
181,22690.425091911766,15798.747702205883,MNDA
182,22709.232536764706,15863.899356617647,TET2
183,22594.32674632353,15957.401194852942,MKI67
184,22687.504595588238,15884.343979779413,MLLT3
185,22691.30974264706,15786.81755514706,MCEMP1
186,22725.02068014706,15771.580882352942,MET
187,22674.655330882353,15793.113511029413,FAS
188,22683.41911764706,15803.39039522059,GPR183
189,22690.728400735294,15855.140165441177,ADAMTS1
190,22701.328125,15862.76424632353,MYLK
191,22694.051011029413,15859.92302389706,BAMBI
192,22693.738511029413,16307.270220588236,FCN1
193,22651.470588235294,15853.337545955883,CD38
194,22690.935202205885,15840.016084558823,SFRP4
195,22697.162224264706,15789.450827205883,VEGFA
196,22711.672794117647,15873.08708639706,SFRP4
197,22778.393841911766,15791.877297794119,VEGFA
198,22638.952205882353,15869.40372242647,MDM2
199,22644.719669117647,15857.406939338236,PTPRC
200,22648.9453125,15855.29411764706,ASXL1
201,22668.642003676472,15794.880514705883,LTF
202,22669.701286764706,15789.450827205883,LTF
203,22672.642463235294,15819.221047794119,LTF
204,22678.671875,15784.38648897059,LTF
205,22689.35661764706,15775.980009191177,LTF
206,22690.77205882353,15785.335477941177,LTF
207,22693.393841911766,15784.573759191177,LTF
208,22700.618106617647,15878.083639705883,RUNX2
209,22706.557904411766,15836.997931985296,COL5A2
210,22646.590073529413,15871.24080882353,CD74
211,22662.71829044118,15794.159007352942,CD53
212,22665.126378676472,15850.20680147059,APOD
213,22705.01838235294,15860.233226102942,TGFB1
214,22621.888786764706,15917.21852022059,NT5E
215,22647.780330882353,15857.493106617647,SLC4A1
216,22649.8828125,15851.560202205883,SLC4A1
217,22718.039981617647,15874.95059742647,SLC4A1
218,22606.3671875,16255.514705882353,SLC4A1
219,22676.2890625,15779.898897058823,SPI1
220,22681.638327205885,15787.19669117647,S100A12
221,22683.65349264706,15790.06778492647,S100A12
222,22690.749080882353,15780.658318014706,CXCR4
223,22762.387408088238,15788.548943014706,RELA
224,22655.356158088238,15956.10523897059,HIF1A
225,22678.717830882353,15796.803768382353,TGFB1
226,22679.742647058825,15800.858226102942,FCGR3A
227,22680.211397058825,15774.408318014706,MDM2
228,22697.028952205885,15881.078814338236,MYLK
229,22719.108455882353,15844.733455882353,TGFB1
230,22612.318474264706,15953.41796875,CAMP
231,22646.217830882353,15860.365349264706,MZB1
232,22657.626378676472,15755.002297794119,CAMP
233,22678.706341911766,15901.97265625,SFRP4
234,22679.958639705885,15777.358685661766,CAMP
235,22686.98299632353,15859.42440257353,SFRP4
236,22689.692095588238,15784.549632352942,CAMP
237,22690.438878676472,15799.79549632353,CAMP
238,22690.903033088238,15856.68887867647,NCAM1
239,22690.95588235294,15888.998161764706,SFRP4
240,22691.833639705885,15797.790670955883,CAMP
241,22692.109375,15794.22794117647,CAMP
242,22695.9765625,15852.369025735296,SFRP4
243,22697.48391544118,15801.017922794119,CAMP
244,22758.170955882353,15788.406479779413,SFRP4
245,22657.005974264706,15847.634420955883,CD74
246,22642.582720588238,15853.498391544119,C1orf194
247,22685.99494485294,15883.127297794119,ACTG2
248,22695.797334558825,15887.758501838236,RUNX1
249,22647.339154411766,15879.037224264706,ATM
250,22731.013327205885,15854.77596507353,CXCL10
251,22586.734834558825,15821.135110294119,LYZ
252,22664.94485294118,15975.738740808823,LYZ
253,22666.849724264706,15784.73575367647,LYZ
254,22667.594209558825,15779.949448529413,LYZ
255,22669.878216911766,15782.590762867647,LYZ
256,22676.716452205885,15781.139705882353,CDKN2D
257,22680.58823529412,15883.13419117647,ANGPT1
258,22680.813419117647,15798.864889705883,LYZ
259,22683.175551470587,15793.305376838236,LYZ
260,22685.546875,15830.0,LYZ
261,22687.621783088238,15794.303768382353,BAP1
262,22688.062959558825,15817.131204044119,ANGPT2
263,22688.57536764706,15781.392463235296,LYZ
264,22690.514705882353,15873.99471507353,ERG
265,22696.633731617647,15870.10914522059,MYLK
266,22696.677389705885,15875.232077205883,MYLK
267,22701.40625,15871.656709558823,MYLK
268,22771.677389705885,15787.817095588236,FBLN1
269,22769.98161764706,15771.703814338236,BGLAP
270,22648.122702205885,15864.349724264706,NFKB1
271,22671.55330882353,15795.189568014706,LTF
272,22672.867647058825,15775.530790441177,LTF
273,22673.274356617647,15779.03262867647,LTF
274,22677.003676470587,15774.63924632353,LTF
275,22686.966911764706,15885.70427389706,ENG
276,22689.27849264706,15751.430376838236,LTF
277,22691.46369485294,15885.306755514706,SF1
278,22695.76286764706,15784.80583639706,LTF
279,22707.44255514706,15844.207261029413,PCNA
280,22761.849724264706,15788.170955882353,LTF
281,22638.917738970587,15859.215303308823,TCL1A
282,22682.980238970587,15885.65602022059,TNC
283,22683.255974264706,15799.181985294119,INHBA
284,22698.876378676472,15838.021599264706,TNC
285,22702.40579044118,15861.61190257353,OGN
286,22709.448529411766,15845.894990808823,CD164
287,22729.655330882353,16018.812040441177,ECSCR
288,22766.082261029413,15843.930376838236,INHBA
289,22772.729779411766,15787.766544117647,VEGFA
290,22640.38143382353,15948.072150735296,SERPINB9
291,22681.886488970587,15812.60799632353,CD28
292,22691.091452205885,15890.260799632353,SPP1
293,22710.34237132353,15840.28492647059,SPP1
294,22710.926011029413,15849.117647058823,SPP1
295,22647.789522058825,15876.617647058823,RGS16
296,22652.994025735294,15853.627068014706,FLT3
297,22674.048713235294,15783.52596507353,ITGAM
298,22678.832720588238,15903.933823529413,TNC
299,22689.581801470587,15792.08065257353,ITGAM
300,22691.886488970587,15821.750919117647,AQP8
301,22606.845128676472,15770.36075367647,S100A12
302,22685.170036764706,15793.909696691177,C1orf162
303,22685.33088235294,15798.89705882353,CXCR4
304,22690.61580882353,15803.9453125,APOBEC3A
305,22700.241268382353,15830.904181985296,SFRP4
306,22712.504595588238,15837.819393382353,TGFB1
307,22716.13511029412,15837.828584558823,PMP22
308,22775.60431985294,15789.81617647059,PMP22
309,22788.543198529413,15789.1015625,BGLAP
310,22640.29411764706,15871.94508272059,SMIM24
311,22662.711397058825,15850.437729779413,SMIM24
312,22688.55698529412,15795.99609375,CD48
313,22709.22104779412,15844.080882352942,TGFB1
314,22789.797794117647,15864.494485294119,HEMGN
315,22685.188419117647,15902.1484375,APOD
316,22656.001838235294,15842.788373161766,SNCA
317,22694.604779411766,15798.835018382353,VEGFA
318,22648.607536764706,15870.55836397059,TCF4
319,22679.23713235294,15869.397977941177,CD83
320,22681.176470588238,15902.231158088236,VCAN
321,22685.535386029413,15892.575827205883,CSPG4
322,22692.300091911766,15859.564568014706,CSPG4
323,22694.47150735294,15873.931525735296,VCAN
324,22753.954503676472,15783.97633272059,CCNB2
325,22674.508272058825,15793.137637867647,ITGAM
326,22678.855698529413,15794.0625,ITGAM
327,22694.772518382353,15873.501838235296,CD164
328,22636.176470588238,15849.929917279413,KNG1
329,22668.33869485294,15775.568704044119,LTF
330,22672.058823529413,15782.230009191177,LTF
331,22681.927849264706,15775.780101102942,LTF
332,22638.3984375,15856.599264705883,NegControlProbe_00014
333,22662.24494485294,15866.215533088236,C6orf118
334,22698.34329044118,15840.3515625,SH2B3
335,22641.555606617647,15872.190946691177,PGR
336,22648.039981617647,15878.697150735296,PTPRC
337,22696.723345588238,15875.09880514706,BAMBI
338,22623.22380514706,15909.426700367647,EDNRB
339,22644.296875,15866.90602022059,TNC
340,22681.011029411766,15832.760799632353,SLC4A1
341,22685.188419117647,15795.87890625,PECAM1
342,22709.646139705885,15892.5,TNC
343,22734.342830882353,15953.201976102942,SLC4A1
344,22688.017003676472,15805.15625,MNDA
345,22690.815716911766,15847.0703125,SPP1
346,22692.07261029412,15888.25367647059,SPP1
347,22686.48667279412,15893.19278492647,PTGDS
348,22694.12224264706,15817.70565257353,CAVIN2
349,22651.97380514706,15910.620404411766,MET
350,22695.523897058825,15787.095588235296,LYZ
351,22656.456801470587,15898.658088235296,AHSP
352,22681.079963235294,15789.832261029413,ACTG2
353,22693.212316176472,15844.016544117647,TP53BP1
354,22645.344669117647,15851.871553308823,TENT5C
355,22650.65487132353,15863.189338235296,CD74
356,22657.899816176472,15860.573299632353,CD74
357,22681.771599264706,15898.278952205883,NCAM1
358,22689.379595588238,15786.546415441177,FCN1
359,22692.9296875,15805.257352941177,FCN1
360,22633.697150735294,15848.801700367647,CD53
361,22658.095128676472,15865.08846507353,BAP1
362,22676.263786764706,15790.50896139706,APOBEC3A
363,22685.572150735294,15790.9375,APOBEC3A
364,22691.69806985294,15879.507123161766,BGLAP
365,22693.053768382353,15783.977481617647,S100A12
366,22698.297334558825,15880.612362132353,VCAN
367,22698.77297794118,15784.73575367647,S100A12
368,22699.802389705885,15874.801240808823,VCAN
369,22702.741268382353,15840.451516544119,AIF1
370,22624.51056985294,15907.3046875,FBLN1
371,22647.732077205885,15871.66934742647,CD274
372,22687.48161764706,15773.411075367647,SELL
373,22690.80422794118,15851.79802389706,AXL
374,22700.418198529413,15840.63648897059,TGFB1
375,22701.69806985294,15860.232077205883,TGFB1
376,22702.614889705885,15867.534466911766,TGFB1
377,22706.537224264706,15863.347886029413,TGFB1
378,22707.1875,15857.49195772059,TGFB1
379,22729.584099264706,15844.03492647059,PLEK
380,22683.821231617647,15879.733455882353,SFRP4
381,22688.324908088238,15867.17715992647,SFRP4
382,22689.99080882353,15872.655101102942,SFRP4
383,22693.37775735294,15858.84880514706,DKK1
384,22697.672334558825,15843.353630514706,CD164
385,22647.242647058825,15858.782169117647,RGS16
386,22651.978400735294,15874.592141544119,MKI67
387,22686.19025735294,15878.07559742647,RGS16
