,x,y,feature_name
0,14730.631893382353,12621.68887867647,CLCA1
1,14817.603400735296,12714.115349264706,CSF2RA
2,14807.543658088236,12826.926700367647,COL17A1
3,14735.403262867647,12621.985294117647,CD28
4,14987.858455882353,12685.618106617647,CD93
5,14743.785615808823,12655.32169117647,EDN1
6,15184.676011029413,12684.16130514706,CSF1
7,14999.896599264706,12751.548713235294,AR
8,15176.59122242647,12608.129595588236,MFAP5
9,15179.418658088236,12854.05215992647,IGFBP4
10,14774.75528492647,12612.658547794119,LYZ
11,14790.959329044119,12689.78630514706,AR
12,14709.846047794119,12616.614200367647,TCL1A
13,14729.607077205883,12623.443244485294,CD28
14,14785.055147058823,12639.701286764706,CSF2RA
15,14731.302849264706,12627.30583639706,AXL
16,15204.644990808823,12801.793428308823,LIF
17,15027.80330882353,12674.114200367647,FTH1
18,14703.11580882353,12645.093060661766,CD1A
19,14721.965762867647,12603.737362132353,NKG7
20,14726.223575367647,12618.470818014706,SH2D3C
21,14714.797794117647,13572.91130514706,CCDC39
22,14770.951286764706,13638.051470588236,ENG
23,14920.750229779413,13701.246553308823,VCAN
24,14930.980009191177,13694.546185661766,DKK1
25,14943.648897058823,13686.735983455883,VCAN
26,14916.477481617647,13710.207950367647,SPP1
27,14928.481158088236,13249.253216911766,MS4A6A
28,14947.056525735296,13676.93474264706,CXCR4
29,15070.327435661766,13275.04940257353,PARP1
30,15208.424862132353,13212.63786764706,CYTIP
31,14948.42715992647,13682.087545955883,CDKN2A
32,14923.669577205883,13692.49080882353,SPP1
33,14939.82536764706,13699.232536764706,SPP1
34,15009.547334558823,13663.139935661766,CD164
35,15178.49609375,13442.408088235294,PTPRC
36,14899.353170955883,13618.836167279413,MPEG1
37,14921.73023897059,13692.497702205883,FTH1
38,15055.364200367647,13552.465533088236,FTH1
39,14895.112591911766,13682.203584558823,FTH1
40,14922.22771139706,13700.11833639706,GPR183
41,14768.849954044119,13114.32674632353,VPREB1
42,14883.137637867647,12981.832490808823,IGFBP4
43,14955.163143382353,13690.85018382353,ACTG2
44,15286.875,12999.221047794119,MMP9
45,14922.437959558823,13689.448529411766,VCAN
46,14931.606158088236,13693.586856617647,VPREB1
47,15024.392233455883,13180.02872242647,LTF
48,14923.030790441177,13698.939568014706,TGFB1
49,14928.658088235296,13322.855009191177,CD74
50,14980.913373161766,13585.565257352942,RUNX1
51,14980.14705882353,13226.090303308823,RUNX1
52,14879.94255514706,13503.736213235294,CEBPA
53,14955.306755514706,13687.781479779413,BAMBI
54,14931.131663602942,13699.596737132353,PLD4
55,14940.120634191177,13684.982766544119,SF3B1_p.K700E_WT
56,14960.062040441177,13693.978630514706,TGFB1
57,15281.841681985296,13628.532858455883,BMP4
58,14920.31364889706,13702.348345588236,DNTT
59,14932.642463235296,13699.67830882353,DKK1
60,14956.062729779413,13694.633501838236,ACTG2
61,14966.421185661766,13639.48299632353,DKK1
62,15102.70450367647,13231.146599264706,CXCL12
63,14834.03262867647,13194.175091911766,FTH1
