,x,y,feature_name
0,14358.69255514706,20477.867647058825,LYZ
1,14504.510569852942,20485.903033088234,LYZ
2,14403.305376838236,20491.73713235294,ELANE
3,14530.240119485296,20485.60431985294,ITGAM
4,14473.481158088236,20506.024816176472,AHSP
5,14482.477022058823,20506.978400735294,AHSP
6,14516.169577205883,20478.894761029413,CCR7
7,14464.654181985296,20496.27987132353,TOP2A
8,14477.99862132353,20508.278952205885,HEMGN
9,14216.965762867647,20479.140625,MEF2C
10,14285.531939338236,20490.480238970587,IRF8
11,14502.586167279413,20479.581801470587,S100A12
12,14512.670036764706,20476.217830882353,S100A12
13,14561.002987132353,20510.004595588234,DPP4
14,14476.243106617647,20509.23943014706,ALAS2
15,14280.857077205883,20480.103400735294,FTH1
16,14480.190716911766,20479.31985294118,MNDA
17,14490.134420955883,20502.272518382353,FTH1
18,14503.475413602942,20477.706801470587,ADH1C
19,14503.679917279413,20479.765625,FCN1
20,14289.841452205883,20483.931525735294,BCL2L11
21,14494.006204044119,20502.369025735294,MEST
22,14394.821920955883,20502.527573529413,FUT4
23,14409.66911764706,20502.185202205885,CBL
24,14290.20450367647,20495.92141544118,MMP9
25,14302.244944852942,20477.922794117647,CTSG
26,14416.23046875,20502.75275735294,CENPF
27,14502.750459558823,20479.31985294118,MMP9
28,14509.558823529413,20475.583639705885,MMP9
29,14542.272518382353,20479.855238970587,MMP9
30,14548.81893382353,20475.317095588234,MMP9
31,14370.463005514706,20476.831341911766,LTF
32,14522.502297794119,20493.625919117647,LTF
33,14513.73965992647,20483.35018382353,MNDA
34,14549.885110294119,20500.77205882353,RUNX1
35,14556.547564338236,20505.592830882353,SMIM24
36,14232.64705882353,20477.359834558825,MS4A3
37,14479.993106617647,20488.22380514706,SLC4A1
38,14533.22380514706,20484.94485294118,MMP9
39,14546.499310661766,20490.11948529412,MMP9
40,14223.23184742647,20476.022518382353,NegControlCodeword_0523
41,14254.793198529413,20501.488970588234,SPI1
42,14310.77205882353,20507.525275735294,SLC4A1
43,14388.83731617647,20482.91360294118,TFF2
44,14221.047794117647,20484.528952205885,MNDA
45,14495.764016544119,20501.04549632353,SLAMF7
46,14564.62890625,20510.599724264706,VPREB1
47,14706.96346507353,20501.64292279412,CAMP
48,14513.13534007353,20480.953584558825,IL1R2
49,14216.96346507353,20499.441636029413,TENT5C
50,14399.340533088236,20500.40900735294,MPO
51,14403.551240808823,20493.644301470587,RERGL
52,14404.836856617647,20485.188419117647,MPO
53,14413.80055147059,20493.07674632353,MPO
54,14420.637637867647,20488.743106617647,MPO
55,14495.44002757353,20502.980238970587,PTN
56,14542.482766544119,20494.00735294118,ATM
57,14283.099724264706,20501.39705882353,MPEG1
58,14341.711856617647,20476.181066176472,FHL2
59,14349.19117647059,20477.702205882353,LYZ
60,14519.769071691177,20487.270220588234,LYZ
61,14555.26424632353,20485.073529411766,LYZ
