,x,y,feature_name
0,14207.356387867647,14730.32169117647,TNC
1,14198.128446691177,14734.295726102942,SF1
2,14283.80974264706,14702.91934742647,SF1
3,14284.301470588236,14863.59375,CD164
4,14290.060891544119,15164.435891544119,CREBBP
5,14209.838005514706,15282.621783088236,C5orf46
6,14177.153033088236,14726.842830882353,RUNX2
7,14176.430376838236,14848.630514705883,FUT4
8,14281.711856617647,15136.61305147059,FKBP11
9,14183.241038602942,14873.99586397059,PMP22
10,14196.156939338236,15245.900735294119,PRDM1
11,14447.347196691177,15139.44393382353,CLCA1
12,14733.159466911766,14770.113740808823,GPRC5A
13,14675.344669117647,15133.188189338236,NegControlProbe_00041
14,14362.69646139706,15072.639016544119,CTSG
15,14588.172104779413,14768.73046875,SEMA3A
16,14340.32398897059,14832.162224264706,DNASE1L3
17,14571.76815257353,15210.407858455883,CCR2
18,14477.806755514706,14934.76677389706,ALAS2
19,14326.711856617647,14711.51309742647,AR
20,14723.219209558823,14873.71208639706,AR
21,14530.30215992647,15015.096507352942,LYZ
22,14684.271599264706,14892.164522058823,LYZ
23,14748.56502757353,14973.17440257353,C5orf46
24,14405.670955882353,14704.237132352942,CFHR1
25,14551.99333639706,15222.659696691177,LPL
26,14752.775735294119,14746.486672794119,S100A12
27,14295.49977022059,14731.5625,PLEK
28,14566.33731617647,15259.75528492647,C7
29,14611.812959558823,14807.350643382353,LGALS1
30,14585.690487132353,14781.731387867647,NegControlProbe_00012
31,14423.90739889706,15167.76309742647,LYZ
32,14425.97771139706,15135.643382352942,LILRB2
33,14310.685891544119,14954.183134191177,FUT4
34,14646.773897058823,15251.4453125,SNCA
