,x,y,feature_name
0,3155.099379595589,1635.4848345588234,LTF
1,3153.908547794117,1144.0728400735297,MPO
2,3154.526654411766,1152.9365808823532,MPO
3,3158.935546875,1634.6300551470595,LTF
4,3158.4122242647063,1165.6158088235297,MPO
5,3167.239200367647,1184.5542279411766,LTF
6,3168.65234375,1150.8295036764703,LTF
7,3171.7440257352937,1194.0625,MPO
8,3171.583754595589,1134.5932904411766,MPO
9,3172.8940716911766,1187.502297794119,MPO
10,3173.424862132353,1158.168658088236,LTF
11,3178.3995863970595,1138.4168198529424,LTF
12,3183.8143382352937,1182.40234375,MPO
13,3186.613051470589,1649.7564338235297,MPO
14,3189.2153033088234,1149.7208180147063,LTF
15,3194.542738970589,1180.0459558823532,MPO
16,3199.250919117647,1158.5880055147063,MPO
17,3204.9620863970595,1107.4931066176468,MPO
18,3209.243451286766,1104.2842371323532,MPO
19,3212.377642463236,1111.5751378676468,MPO
20,3214.3612132352937,1091.056985294119,MPO
21,3217.161075367647,1100.6146599264703,MPO
22,3217.7406939338234,1105.4044117647063,MPO
23,3219.1957720588234,1103.0916819852937,MPO
24,3221.565372242647,1086.137408088236,MPO
25,3221.8692555147063,1109.6001838235297,MPO
26,3221.960592830883,1115.8582261029424,MPO
27,3221.9496783088234,1112.0151654411766,MPO
28,3222.651654411766,1142.4310661764703,MPO
29,3224.5835248161766,1150.525045955883,MPO
30,3224.946001838236,1090.3791360294126,MPO
31,3225.4383042279424,1104.770220588236,MPO
32,3230.2694163602937,1165.7421875,RIDA
33,3230.6502757352937,1102.734375,MPO
34,3236.6021369485297,1452.4931066176468,LTF
35,3240.591107536766,1186.9083180147063,CD82
36,3244.0291819852937,1149.260110294119,MPO
37,3245.766888786766,1143.7396599264703,MPO
38,3254.1802619485297,1152.1357996323532,MPO
39,3255.876608455883,1238.4765625,MPO
40,3256.8548943014703,1418.3605238970595,LTF
41,3262.9572610294126,1223.5041360294126,MPO
42,3271.2678079044126,1376.391314338236,MPO
43,3276.6291360294126,1250.3860294117658,MPO
44,3280.5824908088234,1685.7284007352937,LTF
45,3279.956341911766,1221.723345588236,MPO
46,3284.0929457720595,1252.0955882352937,MPO
47,3287.0662913602937,1632.074908088236,SELL
48,3286.796875,1384.84375,MPO
49,3293.7787224264703,1690.9627757352937,LTF
50,3292.4942555147063,1373.4271599264703,MPO
51,3293.490923713236,1219.587545955883,MPO
52,3293.7023207720595,1199.2153033088234,PDGFRB
53,3295.1034007352937,1235.9409466911766,MPO
54,3301.784237132353,1375.9823069852937,MPO
55,3306.762982536766,1654.5978860294126,SELL
56,3306.521139705883,1228.7752757352937,MPO
57,3307.585592830883,1265.746783088236,MPO
58,3308.9200367647063,1222.5344669117658,SOX2
59,3310.3285845588234,1262.7159926470595,MPO
60,3312.6453354779424,1518.8625919117658,MMRN2
61,3313.188189338236,1258.1215533088234,MPO
62,3314.1498161764703,1223.6465992647063,FBLN1
63,3315.197610294117,1405.9627757352937,MPO
64,3316.50390625,1265.9926470588234,MPO
65,3317.700482536766,1219.0567555147063,APCDD1
66,3318.918313419117,1235.2481617647063,MPO
67,3322.428768382353,1259.3807444852937,MPO
68,3327.409811580883,1261.0926011029424,LTF
69,3333.8223805147063,1257.8653492647063,LTF
70,3342.1719898897063,1460.805376838236,MPO
71,3367.566061580883,1690.060891544119,CD82
72,3152.599954044117,1618.8143382352937,LYZ
73,3153.7069163602937,1601.9611672794126,KIT
74,3154.3146829044126,1497.8975183823532,LYZ
75,3153.0508961397063,1172.8894761029424,LYZ
76,3162.467830882353,1140.5583639705892,LYZ
77,3163.8419117647063,1150.0597426470595,LYZ
78,3170.171185661766,1178.7775735294126,LYZ
79,3176.325252757353,1638.9188878676468,LYZ
80,3176.020220588236,1151.5349264705892,LYZ
81,3179.210707720589,1630.5997242647063,LYZ
82,3196.926700367647,1142.0048253676468,SH2D3C
83,3202.800436580883,1668.481158088236,LYZ
84,3215.891544117647,1656.916360294119,LYZ
85,3220.3601792279424,1438.1594669117658,LYZ
86,3221.5728400735297,1110.036764705883,VWA5A
87,3222.2840073529424,1089.7736672794126,LYZ
88,3223.5213694852937,1086.0282628676468,LYZ
89,3229.0584788602937,1653.1824448529424,LYZ
90,3229.7351792279424,1640.114889705883,LYZ
91,3230.6439568014703,1655.9191176470595,LYZ
92,3232.7424172794126,1639.4462316176468,CSF2RA
93,3232.087545955883,1450.2022058823532,LYZ
94,3231.042624080883,1104.8943014705892,LYZ
95,3235.603170955883,1682.9951746323532,VCAN
96,3233.6902573529424,1110.4698988970595,LYZ
97,3236.452780330883,1460.8134191176468,LYZ
98,3236.011029411766,1191.6739430147063,LYZ
99,3238.058363970589,1085.9306066176468,LYZ
100,3241.5808823529424,1691.0811121323532,LYZ
101,3240.6698069852937,1438.5730698529424,LYZ
102,3243.2801011029424,1159.8736213235297,KIT
103,3247.939453125,1469.0831801470595,MS4A1
104,3250.9018841911766,1446.213235294119,LYZ
105,3256.1218979779424,1402.0783547794126,LYZ
106,3268.970013786766,1157.6424632352937,LYZ
107,3270.836971507353,1430.8076746323532,LYZ
108,3274.133731617647,1203.8350183823532,LYZ
109,3277.663143382353,1643.0376838235297,IL3RA
110,3278.80859375,1700.080422794119,LYZ
111,3279.8988970588234,1435.7306985294126,LYZ
112,3281.6791130514703,1322.1484375,CFHR1
113,3281.448184742647,1313.5225183823532,CSF2RA
114,3281.9295726102937,1207.1415441176468,LYZ
115,3283.747702205883,1381.1925551470595,LYZ
116,3286.298828125,1312.4517463235297,FGL2
