,x,y,feature_name
0,12824.46231617647,15201.98299632353,GATM
1,12824.685202205883,15203.296185661766,KLRC1
2,12827.593060661766,15193.274356617647,PLCG2
3,12824.46461397059,15206.238511029413,VPREB1
4,12887.487362132353,14848.999310661766,CTSG
5,12815.662913602942,15190.122931985296,PLCG2
6,12855.61580882353,15266.35684742647,S100A12
7,12832.58731617647,15204.79664522059,PLD4
8,12841.617647058823,15204.73575367647,HEPACAM2
9,12835.523897058823,15193.139935661766,VPREB1
10,12820.405560661766,15196.946231617647,CD2
11,12838.552389705883,15208.4375,SOX2
12,12679.666819852942,15056.121323529413,LMNB1
13,12870.639935661766,14858.220358455883,CD53
14,12831.077665441177,15196.24080882353,ASPN
15,12835.13786764706,15198.033088235296,FSTL3
16,12835.611213235294,15208.469669117647,GZMK
17,12870.834099264706,14775.59742647059,CYTIP
18,12827.935431985294,15203.285845588236,FUT4
19,12818.002068014706,15198.103170955883,PLA2G7
20,12602.66544117647,15218.381204044119,PARP1
21,12721.857766544119,15163.80859375,KLRC1
22,12692.473575367647,15185.053998161766,SRPX
23,12688.57421875,14917.51953125,KCNMA1
24,12800.405560661766,14849.07284007353,CD3D
25,12802.06227022059,14848.854549632353,CD3D
26,12867.620634191177,14857.827435661766,CD53
27,12680.63419117647,15057.767693014706,CD74
28,12830.207950367647,15212.211626838236,DPP4
29,12612.616038602942,15237.478170955883,ALAS2
30,12852.99747242647,15274.30606617647,CXCR4
31,12823.367417279413,15196.978400735296,MLLT3
32,12623.43864889706,14914.700137867647,BCORL1
33,12676.939338235294,15054.006204044119,CEBPA
34,13153.334099264706,15097.66773897059,LPL
35,13194.60133272059,15140.383731617647,S100A12
36,13163.205422794119,15137.974494485296,CD164
37,12974.240579044119,15272.209329044119,KLRB1
38,13155.630744485294,15112.21852022059,MNDA
39,13176.833639705883,15131.015625,FTH1
40,13049.530101102942,15159.181985294119,IGFBP4
41,13198.784466911766,15148.647748161766,IGFBP4
42,13189.86443014706,15136.375229779413,MNDA
43,13192.935431985294,15137.171415441177,MNDA
44,12988.394990808823,15136.08455882353,SLC4A1
45,13190.232077205883,15134.80583639706,S100A12
46,13196.832490808823,15156.409696691177,APOE
47,13161.008731617647,14841.392463235296,ALAS2
48,13070.873161764706,15086.88419117647,MZB1
49,13007.077205882353,15226.803768382353,FABP4
50,13170.119485294119,15124.68864889706,CD74
51,12987.389705882353,15293.188189338236,CAVIN2
52,13130.298713235294,15050.703125,CXCL12
53,13077.75505514706,15091.92555147059,FTH1
54,13148.68106617647,15091.06617647059,FTH1
55,13161.937040441177,15119.214154411766,CD14
56,13185.912224264706,15138.910845588236,S100A12
57,13197.072610294119,15146.69117647059,S100A12
58,13077.54021139706,15097.03239889706,CAVIN1
59,13139.890854779413,15087.281709558823,CD164
60,12976.351102941177,15261.071920955883,FTH1
61,13156.429227941177,15119.446231617647,CXCL12
62,13148.473115808823,14977.957261029413,TNC
63,13149.343979779413,15102.007123161766,LGALS1
64,13188.274356617647,15139.66911764706,MNDA
65,13188.591452205883,15135.590533088236,ELANE
66,13178.540900735294,15137.108226102942,RUNX1
67,13191.20289522059,15138.36971507353,S100A12
68,13060.86856617647,15161.33731617647,LYZ
69,13163.74080882353,15123.597196691177,ERBB2
70,13183.09512867647,15129.408318014706,CXCL12
71,13186.032858455883,15148.560431985296,CXCL12
72,13199.26700367647,15162.32536764706,CXCL12
73,13125.59627757353,15077.270220588236,S100A12
74,13127.582720588236,15075.194163602942,S100A12
75,13159.05215992647,14838.728170955883,SLC4A1
76,13196.69117647059,15136.341911764706,S100A12
77,13141.452205882353,15092.482766544119,CD164
78,13162.342601102942,15145.698529411766,CD164
79,13176.956571691177,15128.322610294119,CD68
80,13141.067325367647,14873.72242647059,PARP1
81,13103.95565257353,15056.624540441177,CEBPA
82,13000.02068014706,15180.073529411766,FTH1
83,13082.927389705883,15216.519990808823,DPT
84,12976.892233455883,15247.211626838236,FABP4
85,13151.642922794119,15196.03515625,TFPI
86,13152.25758272059,15189.686351102942,TFPI
