,x,y,feature_name
0,14177.604549632353,25798.251378676472,ALAS2
1,14217.388556985294,25777.945772058825,UPK3B
2,14505.921415441177,25778.602941176472,BANK1
3,14546.698069852942,25741.884191176472,CXCL12
4,14583.118106617647,25876.948529411766,SH2B3
5,14372.533318014706,25753.40073529412,PLEK
6,14216.451056985294,25778.10661764706,UPK3B
7,14190.591681985294,26073.396139705885,LGALS1
8,14454.397977941177,26249.04641544118,MPO
9,14412.063419117647,26018.708639705885,LYZ
10,14356.633731617647,26004.841452205885,LILRA5
11,14388.784466911766,25981.11443014706,MKI67
12,14771.486672794119,26008.61443014706,SF1
13,14503.37890625,26061.532628676472,LPL
14,14587.560891544119,26058.605238970587,CXCL2
15,14585.82146139706,26182.063419117647,RELA
16,14649.80583639706,26188.274356617647,FTH1
